CO_IES;CO_ORGACAD;CO_GRUPO;CO_CURSO;CO_MODALIDADE;CO_MUNIC_CURSO;NU_IDADE;TP_SEXO;ANO_FIM_EM;ANO_IN_GRAD;CO_TURNO_GRADUACAO;TP_PRES;QE_I01;QE_I02;QE_I04;QE_I05;QE_I07;QE_I08;QE_I09;QE_I11;QE_I12;QE_I13;QE_I15;QE_I16;QE_I17;QE_I21;QE_I22;QE_I23;QE_I27;QE_I28;QE_I29;QE_I30;QE_I31;QE_I32;QE_I33;QE_I34;QE_I35;QE_I36;QE_I37;QE_I38;QE_I39;QE_I40;QE_I41;QE_I42;QE_I43;QE_I44;QE_I45;QE_I46;QE_I47;QE_I48;QE_I49;QE_I50;QE_I51;QE_I52;QE_I53;QE_I54;QE_I55;QE_I56;QE_I57;QE_I58;QE_I59;QE_I60;QE_I61;QE_I62;QE_I63;QE_I64;QE_I65;QE_I66;QE_I67;QE_I68
3849;10028;2402;17134;1;1718204;22;F;2012;2013;1;555;A;C;B;D;A;A;D;A;A;A;A;17;A;B;C;C;6;5;6;6;6;6;6;6;6;5;5;6;6;6;6;6;5;5;4;5;6;6;6;5;6;5;5;5;6;5;5;5;5;5;5;5;5;6;6;5;5;4
3849;10028;2402;17134;1;1718204;31;M;2003;2013;1;222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3849;10028;2402;17134;1;1718204;24;F;2010;2011;1;555;A;A;B;B;E;B;B;A;A;D;A;17;A;B;E;C;6;6;6;6;6;5;6;6;6;5;6;5;6;6;5;5;5;5;5;6;6;6;6;6;6;5;5;5;6;5;6;5;5;5;4;5;5;5;5;6;5;5
3849;10028;2402;17134;1;1718204;28;M;2011;2013;1;555;A;D;A;B;E;C;C;A;A;A;D;17;A;B;C;E;6;5;6;5;6;4;5;6;5;5;6;5;6;2;5;6;3;4;5;5;4;5;6;6;5;4;4;1;6;6;5;5;4;5;2;3;3;5;5;6;5;1
3849;10028;2402;17134;1;1718204;23;F;2011;2012;1;555;A;B;B;D;C;B;B;A;A;A;A;17;A;B;E;B;5;5;4;4;5;4;4;7;4;4;4;4;5;3;6;4;5;2;6;7;4;4;4;5;5;7;7;4;4;3;4;6;4;3;4;4;4;4;4;4;6;5
3849;10028;2402;17134;1;1718204;38;F;2005;2013;1;555;A;A;B;B;E;A;B;A;A;A;A;17;A;B;C;C;6;6;5;6;3;3;5;5;5;4;6;5;4;4;5;6;2;3;5;5;5;6;6;6;6;4;4;5;5;4;4;3;3;3;3;1;2;3;2;3;4;1
3849;10028;2402;17134;1;1718204;28;F;2007;2012;1;555;B;A;B;D;D;A;B;A;A;A;A;17;A;A;C;C;3;1;4;6;6;6;6;6;6;5;6;4;4;1;3;4;6;6;6;6;3;3;3;6;6;3;3;5;4;3;6;4;4;4;5;1;4;3;4;6;6;1
3849;10028;2402;17134;1;1718204;23;F;2011;2012;1;222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3849;10028;2402;17134;1;1718204;32;M;2003;2005;4;222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3849;10028;2402;17134;1;1718204;27;F;2008;2010;4;555;E;D;B;E;B;B;E;A;A;A;A;17;A;A;C;D;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;5;5;5;7;5;4;5;5;4;4;4;5;4;4;5;5;5;5
